testname,SGA,RGA,IGA
c01,85,85,85
c02,144,144,144
c03,754,754,754
c04,1080,1079,1079
c05,1580,1579,1579
c06,55,55,55
c07,102,102,102
c08,510,510,512
c09,709,711,708
c10,1096,1093,1094
c11,32,32,32
c12,46,46,46
c13,260,259,260
c14,324,324,324
c15,557,557,557
c16,11,11,11
c17,18,18,18
c18,115,115,118
c19,153,154,155
c20,276,275,272
d01,106,106,106
d02,220,220,220
d03,1572,1569,1565
d04,1942,1937,1937
d05,3261,3256,3251
d06,67,67,67
d07,103,103,103
d08,1080,1078,1076
d09,1458,1454,1451
d10,2116,2116,2118
d11,29,29,29
d12,42,42,42
d13,503,502,501
d14,672,674,672
d15,1121,1123,1128
d16,13,13,13
d17,23,23,23
d18,230,229,230
d19,325,324,326
d20,557,554,553
antiwheel5,7,7,7
design432,9,9,9
oddcycle3,4,4,4
oddwheel3,5,5,5
se03,12,12,12
w13c29,556,542,541
w23c23,773,755,751
w3c571,3139,3068,3062
e01,111,111,111
e02,214,214,214
e03,4048,4030,4030
e04,5132,5125,5125
e05,8155,8143,8147
e06,73,73,73
e07,145,145,145
e08,2724,2709,2692
e09,3678,3651,3647
e10,5647,5630,5627
e11,34,34,34
e12,67,67,67
e13,1347,1328,1339
e14,1790,1768,1770
e15,2813,2806,2806
e16,15,15,15
e17,25,25,25
e18,661,630,641
e19,819,798,797
e20,1418,1415,1418
berlin52,1067,1069,1066
brasil58,13673,13666,13666
world666,173062,163491,162656
p461,5129,4786,4722
i080-001,1787,1787,1787
i080-002,1607,1607,1607
i080-003,1713,1713,1713
i080-004,1866,1866,1866
i080-005,1790,1790,1790
i080-011,1482,1479,1479
i080-012,1484,1484,1484
i080-013,1381,1381,1381
i080-014,1397,1397,1397
i080-015,1495,1495,1495
i080-021,1471,1184,1175
i080-022,1187,1178,1185
i080-023,1188,1193,1177
i080-024,1172,1187,1161
i080-025,1162,1163,1162
i080-031,1570,1570,1570
i080-032,2088,2088,2088
i080-033,1794,1794,1794
i080-034,1688,1688,1688
i080-035,1862,1862,1862
i080-041,1276,1276,1276
i080-042,1353,1287,1287
i080-043,1297,1295,1295
i080-044,1366,1366,1366
i080-045,1362,1362,1362
i080-101,2608,2608,2608
i080-102,2403,2403,2403
i080-103,2667,2667,2603
i080-104,2486,2486,2486
