testname,SGA,RGA,IGA
c01,223.785000,203.476000,188.292000
c02,229.425000,186.618000,220.918000
c03,235.028000,347.120000,222.061000
c04,349.143000,197.856000,209.955000
c05,328.633000,276.663000,214.328000
c06,551.472000,551.232000,343.836000
c07,512.530000,527.423000,347.462000
c08,583.523000,967.674000,679.305000
c09,606.074000,379.942000,433.143000
c10,808.465000,381.952000,382.014000
c11,1092.479000,606.747000,644.228000
c12,850.750000,603.854000,674.955000
c13,736.034000,592.488000,997.716000
c14,664.106000,643.007000,727.063000
c15,634.177000,599.696000,1061.874000
c16,768.797000,931.272000,986.606000
c17,797.711000,711.904000,861.197000
c18,865.924000,717.686000,2110.225000
c19,785.195000,737.850000,907.658000
c20,900.415000,779.067000,832.644000
d01,1877.877000,1634.331000,1987.502000
d02,1987.973000,1603.578000,1997.387000
d03,2139.555000,1815.989000,2497.603000
d04,2362.950000,1642.057000,1925.145000
d05,1669.202000,1958.014000,2058.792000
d06,3443.908000,3666.075000,3625.956000
d07,3963.398000,4164.109000,3623.596000
d08,4593.949000,3871.427000,4962.017000
d09,4923.296000,4411.736000,4492.911000
d10,3442.970000,3207.542000,7199.796000
d11,5524.837000,4930.715000,10334.054000
d12,5681.879000,4836.332000,9772.408000
d13,6561.518000,5124.926000,10051.081000
d14,5686.253000,4906.616000,9946.794000
d15,5953.495000,5661.458000,4758.890000
d16,6239.909000,7126.603000,5338.967000
d17,10428.815000,7381.097000,5390.123000
d18,6975.928000,6593.840000,5776.649000
d19,6839.512000,9020.451000,5641.720000
d20,7716.313000,8543.366000,5988.497000
antiwheel5,30.511000,19.534000,0.712000
design432,2.130000,2.593000,0.761000
oddcycle3,1.304000,1.258000,0.699000
oddwheel3,0.827000,1.137000,2.095000
se03,0.931000,0.659000,0.828000
w13c29,2295.934000,1828.375000,1766.848000
w23c23,5733.400000,7788.652000,7658.965000
w3c571,89502.242000,82458.740000,92753.730000
e01,35772.638000,38278.499000,30255.511000
e02,31831.300000,37021.921000,27489.923000
e03,28521.018000,38573.838000,28252.081000
e04,36386.906000,32689.537000,31277.678000
e05,31159.242000,31104.480000,34094.056000
e06,58731.849000,58791.742000,53451.590000
e07,59486.682000,56814.348000,53541.995000
e08,63460.349000,54688.923000,52700.137000
e09,67793.495000,48028.165000,54590.715000
e10,50776.222000,56850.592000,53305.877000
e11,104043.548000,98792.442000,88505.184000
e12,88702.992000,82966.500000,85060.807000
e13,81658.873000,87585.116000,86739.490000
e14,79875.759000,89027.785000,86851.309000
e15,78898.900000,98153.718000,86033.193000
e16,116919.004000,98739.852000,103677.866000
e17,100209.055000,98023.815000,112895.163000
e18,102879.977000,113100.330000,106446.855000
e19,120503.513000,101015.387000,92500.254000
e20,112670.088000,113733.726000,91501.522000
berlin52,296.836000,437.125000,297.456000
brasil58,9.445000,9.559000,11.730000
world666,2375.934000,2957.962000,2282.976000
p455,18.964000,25.595000,30.273000
p456,19.111000,34.200000,16.844000
p457,19.830000,35.270000,17.827000
p458,21.406000,36.438000,19.487000
p459,29.645000,36.258000,19.262000
p460,30.352000,27.999000,16.086000
p461,21.272000,24.651000,20.440000
p463,116.576000,116.723000,90.110000
p464,102.684000,130.968000,106.069000
i080-001,54.744000,60.850000,54.952000
i080-002,5.517000,3.208000,2.992000
i080-003,3.630000,3.537000,3.309000
i080-004,3.954000,4.713000,2.944000
i080-005,2.759000,3.455000,3.242000
i080-011,8.357000,8.938000,4.413000
i080-012,5.579000,5.574000,4.115000
i080-013,5.395000,4.379000,4.931000
i080-014,5.967000,5.245000,4.787000
i080-015,4.651000,7.910000,4.053000
i080-021,10.581000,10.510000,11.380000
i080-022,12.434000,17.018000,10.276000
i080-023,15.091000,11.116000,11.447000
i080-024,19.233000,12.355000,13.706000
i080-025,13.888000,11.054000,9.877000
i080-031,3.377000,3.549000,3.972000
i080-032,3.260000,3.440000,5.056000
i080-033,3.551000,4.153000,3.470000
i080-034,4.812000,3.378000,3.303000
i080-035,3.623000,4.206000,3.576000
i080-041,9.149000,6.276000,5.771000
i080-042,7.304000,9.405000,5.491000
i080-043,5.640000,6.152000,5.146000
i080-044,5.955000,6.127000,5.506000
i080-045,6.507000,8.334000,5.296000
i080-101,4.108000,3.529000,3.021000
i080-102,3.672000,4.968000,2.825000
i080-103,2.861000,4.225000,2.997000
i080-104,3.391000,4.168000,2.599000
i080-105,2.901000,3.408000,3.350000
i080-111,4.813000,6.130000,6.883000
i080-112,5.536000,6.605000,4.422000
i080-113,6.157000,7.597000,6.450000
i080-114,5.206000,7.657000,4.900000
i080-115,5.948000,8.149000,7.029000
i080-121,11.385000,14.838000,11.716000
i080-122,14.052000,12.306000,14.116000
i080-123,13.413000,18.091000,9.794000
i080-124,12.056000,17.364000,14.059000
i080-125,13.913000,11.419000,9.948000
i080-131,4.320000,3.978000,5.242000
i080-132,4.062000,4.283000,2.938000
i080-133,4.322000,4.221000,2.974000
i080-134,4.693000,4.077000,3.156000
i080-135,3.427000,3.275000,3.715000
i080-141,5.552000,5.676000,5.723000
i080-142,6.315000,7.506000,9.119000
i080-143,5.993000,6.743000,7.778000
i080-144,6.339000,5.288000,5.387000
i080-145,5.236000,9.239000,6.685000
i080-201,4.847000,3.458000,2.647000
i080-202,4.025000,3.443000,2.602000
i080-203,2.763000,2.824000,3.290000
i080-204,4.939000,4.178000,2.660000
i080-205,5.102000,3.580000,2.503000
i080-211,5.034000,4.630000,4.201000
i080-212,6.369000,4.416000,4.856000
i080-213,6.987000,5.635000,4.193000
i080-214,5.385000,5.598000,5.307000
i080-215,4.676000,7.441000,4.777000
i080-221,18.063000,14.592000,10.929000
i080-222,9.941000,13.993000,12.870000
i080-223,11.057000,19.817000,13.513000
i080-224,17.403000,12.105000,9.788000
i080-225,11.419000,16.255000,11.367000
i080-231,4.537000,5.452000,3.729000
i080-232,3.326000,3.753000,3.657000
i080-233,3.761000,4.459000,3.284000
i080-234,5.390000,3.377000,3.527000
i080-235,5.810000,6.020000,3.278000
i080-241,5.767000,5.955000,5.142000
i080-242,5.646000,8.219000,8.857000
i080-243,6.574000,5.247000,6.451000
i080-244,6.843000,6.356000,5.368000
i080-245,8.237000,6.940000,5.274000
i080-301,2.429000,2.756000,2.921000
i080-302,4.721000,3.025000,2.646000
i080-303,3.561000,2.545000,5.019000
i080-304,3.835000,3.233000,2.579000
i080-305,3.112000,3.378000,2.231000
i080-311,5.405000,5.167000,7.605000
i080-312,5.164000,4.620000,5.560000
i080-313,5.110000,4.691000,4.302000
i080-314,5.505000,5.214000,4.584000
i080-315,5.219000,5.281000,5.858000
i080-321,11.339000,11.489000,15.084000
i080-322,10.406000,19.907000,10.165000
i080-323,14.635000,19.889000,11.496000
i080-324,13.843000,11.430000,9.586000
i080-325,11.838000,15.260000,14.088000
i080-331,4.438000,6.132000,3.646000
i080-332,4.160000,4.840000,3.280000
i080-333,4.265000,4.083000,3.464000
i080-334,4.746000,4.649000,4.679000
i080-335,6.174000,4.040000,3.225000
i080-341,5.665000,5.942000,5.074000
i080-342,5.918000,5.242000,5.197000
i080-343,10.421000,7.058000,5.616000
i080-344,7.213000,6.719000,8.948000
i080-345,6.062000,5.993000,7.162000
i160-001,17.785000,14.820000,12.022000
i160-002,13.532000,11.413000,9.932000
i160-003,19.440000,11.958000,10.987000
i160-004,17.263000,12.719000,11.149000
i160-005,20.522000,18.892000,12.146000
i160-011,26.137000,40.267000,25.838000
i160-012,27.138000,26.492000,26.864000
i160-013,23.545000,24.753000,22.566000
i160-014,25.612000,23.918000,27.065000
i160-015,24.965000,23.972000,23.661000
i160-021,53.589000,71.150000,53.587000
i160-022,53.400000,55.720000,54.129000
i160-023,54.713000,69.553000,54.898000
i160-024,58.361000,55.709000,47.077000
i160-025,51.638000,48.252000,53.050000
i160-031,20.568000,18.025000,13.319000
i160-032,14.544000,15.682000,16.191000
i160-033,16.156000,18.651000,14.027000
i160-034,17.639000,13.933000,15.340000
i160-035,15.189000,16.243000,14.204000
i160-041,36.927000,49.854000,38.907000
i160-042,31.670000,30.326000,34.524000
i160-043,33.959000,32.260000,32.465000
i160-044,30.977000,31.991000,30.269000
i160-045,30.644000,29.052000,30.610000
i160-101,13.144000,10.436000,12.306000
i160-102,11.534000,11.779000,15.302000
i160-103,17.539000,11.371000,13.642000
i160-104,13.526000,11.873000,15.241000
i160-105,13.894000,15.303000,11.015000
i160-111,27.216000,22.673000,29.043000
i160-112,35.013000,29.607000,23.826000
i160-113,22.844000,27.356000,22.807000
i160-114,28.574000,41.848000,35.377000
i160-115,29.619000,33.400000,23.118000
i160-121,57.428000,55.876000,49.277000
i160-122,61.608000,60.639000,54.285000
i160-123,69.774000,69.308000,49.227000
i160-124,62.141000,55.213000,43.705000
i160-125,48.504000,60.775000,44.097000
i160-131,18.036000,15.357000,14.858000
i160-132,16.369000,17.463000,14.781000
i160-133,25.751000,16.083000,13.981000
i160-134,46.138000,27.239000,13.417000
i160-135,20.640000,23.688000,14.574000
i160-141,35.232000,37.446000,41.089000
i160-142,32.108000,45.428000,26.417000
i160-143,33.549000,38.841000,26.521000
i160-144,30.926000,46.227000,27.696000
i160-145,33.972000,35.294000,27.865000
i160-201,13.676000,25.413000,9.865000
i160-202,13.200000,16.719000,15.415000
i160-203,14.159000,13.428000,12.211000
